     Alpha       T1-83.0 m/s-LLT-2000.0kg-x0.0m         Alpha       T1-83.0 m/s-LLT-2000.0kg-x0.1m         Alpha       T1-83.0 m/s-LLT-2000.0kg-x0.2m         Alpha       T1-83.0 m/s-LLT-2000.0kg-x0.3m         Alpha       T1-83.0 m/s-LLT-2000.0kg-x0.42m         Alpha       T1-83.0 m/s-LLT-2000.0kg-x0.4m    
          -10         0.1394672            -10        0.09715732            -10        0.05484745            -10        0.01253758            -10       -0.03823426            -10       -0.02977229  
           -9         0.1171348             -9        0.08005336             -9        0.04297188             -9         0.0058904             -9       -0.03860737             -9       -0.03119108  
           -8        0.09482785             -8        0.06294185             -8        0.03105586             -8     -0.0008301297             -8       -0.03909332             -8       -0.03271612  
           -7        0.07217265             -7        0.04553458             -7         0.0188965             -7      -0.007741572             -7       -0.03970726             -7       -0.03437965  
           -6        0.04938971             -6        0.02802047             -6       0.006651236             -6         -0.014718             -6       -0.04036109             -6       -0.03608724  
           -5        0.02644007             -5        0.01036587             -5      -0.005708324             -5       -0.02178252             -5       -0.04107156             -5       -0.03785672  
           -4       0.003372758             -4      -0.007388242             -4       -0.01814924             -4       -0.02891024             -4       -0.04182344             -4       -0.03967124  
           -3       -0.01980505             -3       -0.02523661             -3       -0.03066816             -3       -0.03609972             -3       -0.04261759             -3       -0.04153128  
           -2       -0.04309305             -2       -0.04317964             -2       -0.04326623             -2       -0.04335282             -2       -0.04345673             -2       -0.04343941  
           -1       -0.06645398             -1       -0.06118802             -1       -0.05592206             -1        -0.0506561             -1       -0.04433695             -1       -0.04539015  
            0       -0.08987649              0       -0.07925244              0       -0.06862839              0       -0.05800435              0       -0.04525549              0        -0.0473803  
            1        -0.1132893              1       -0.09731363              1       -0.08133794              1       -0.06536225              1       -0.04619142              1       -0.04938655  
            2        -0.1366316              2        -0.1153209              2       -0.09401028              2       -0.07269961              2       -0.04712681              2       -0.05138895  
            3        -0.1598933              3        -0.1332646              3        -0.1066359              3       -0.08000719              3       -0.04805275              3       -0.05337849  
            4        -0.1829957              4        -0.1510708              4         -0.119146              4       -0.08722111              4       -0.04891129              4       -0.05529626  
            5        -0.2055938              5        -0.1684416              5        -0.1312895              5       -0.09413727              5       -0.04955465              5       -0.05698509  
            6        -0.2274344              6        -0.1851509              6        -0.1428675              6         -0.100584              6       -0.04984388              6       -0.05830057  
            7        -0.2481489              7        -0.2008671              7        -0.1535852              7        -0.1063034              7       -0.04956513              7        -0.0590215  
            8        -0.2684073              8        -0.2161868              8        -0.1639662              8        -0.1117457              8       -0.04908102              8       -0.05952513  
            9         -0.290641              9        -0.2332895              9        -0.1759379              9        -0.1185864              9       -0.04976454              9       -0.06123485  
           10        -0.3138482             10        -0.2512786             10        -0.1887091             10        -0.1261396             10       -0.05105617             10       -0.06357008  
           11        -0.3360276             11        -0.2683741             11        -0.2007207             11        -0.1330672             11       -0.05188301             11        -0.0654137  
           12        -0.3559438             12        -0.2834754             12         -0.211007             12        -0.1385385             12       -0.05157643             12       -0.06607011  
           13        -0.3755693             13        -0.2983504             13        -0.2211315             13        -0.1439126             13       -0.05124995             13       -0.06669373  
           14        -0.3947037             14        -0.3128194             14         -0.230935             14        -0.1490506             14       -0.05078936             14       -0.06716623  
           15        -0.4131759             15        -0.3267347             15        -0.2402935             15        -0.1538522             15        -0.0501228             15       -0.06741104  
           16        -0.4303682             16        -0.3395648             16        -0.2487615             16        -0.1579582             16       -0.04899422             16       -0.06715489  
           17        -0.4460242             17        -0.3510801             17        -0.2561359             17        -0.1611918             17       -0.04725885             17       -0.06624767  
           18         -0.460267             18        -0.3613894             18        -0.2625117             18        -0.1636341             18       -0.04498088             18       -0.06475641  

