xflr5 v6.47

Plane name :        Plane Name
Polar name :        T1-83.0 m/s-LLT-2000.0kg-x0.42m
Freestream speed :  83.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.679626   0.023248   0.007289   0.030537   0.000000   0.000000  -0.038234  -0.000000  -0.000000   83.0000     0.3156
   -9.000     0.000  -0.594581   0.017953   0.006893   0.024846   0.000000  -0.000000  -0.038607  -0.000000  -0.000000   83.0000     0.3021
   -8.000     0.000  -0.510458   0.013239   0.006583   0.019822   0.000000   0.000000  -0.039093  -0.000000  -0.000000   83.0000     0.2835
   -7.000     0.000  -0.425822   0.009223   0.006371   0.015594   0.000000   0.000000  -0.039707   0.000000  -0.000000   83.0000     0.2571
   -6.000     0.000  -0.341146   0.005929   0.006163   0.012091   0.000000   0.000000  -0.040361  -0.000000  -0.000000   83.0000     0.2168
   -5.000     0.000  -0.256298   0.003355   0.006019   0.009374   0.000000  -0.000000  -0.041072   0.000000  -0.000000   83.0000     0.1070
   -4.000     0.000  -0.171366   0.001508   0.005896   0.007404   0.000000   0.000000  -0.041823   0.000000  -0.000000   83.0000    -0.1413
   -3.000     0.000  -0.086338   0.000389   0.005795   0.006184   0.000000  -0.000000  -0.042618   0.000000  -0.000000   83.0000    -7.3372
   -2.000     0.000  -0.001181   0.000000   0.005731   0.005731   0.000000  -0.000000  -0.043457   0.000000  -0.000000   83.0000   -27.5100
   -1.000     0.000   0.084021   0.000345   0.005673   0.006018   0.000000  -0.000000  -0.044337   0.000000   0.000000   83.0000    -5.7541
    0.000     0.000   0.169279   0.001424   0.005591   0.007015   0.000000  -0.000000  -0.045255   0.000000  -0.000000   83.0000     0.7932
    1.000     0.000   0.254447   0.003235   0.005476   0.008711   0.000000  -0.000000  -0.046191   0.000000   0.000000   83.0000     0.6889
    2.000     0.000   0.339410   0.005773   0.005306   0.011078   0.000000  -0.000000  -0.047127   0.000000   0.000000   83.0000     0.6492
    3.000     0.000   0.424209   0.009033   0.005113   0.014146   0.000000  -0.000000  -0.048053  -0.000000  -0.000000   83.0000     0.6043
    4.000     0.000   0.508802   0.013010   0.005066   0.018076   0.000000  -0.000000  -0.048911  -0.000000  -0.000000   83.0000     0.5697
    5.000     0.000   0.592481   0.017660   0.005157   0.022817   0.000000  -0.000000  -0.049555  -0.000000  -0.000000   83.0000     0.5464
    6.000     0.000   0.674853   0.022934   0.005345   0.028280   0.000000  -0.000000  -0.049844  -0.000000  -0.000000   83.0000     0.5293
    7.000     0.000   0.755369   0.028759   0.005654   0.034413   0.000000  -0.000000  -0.049565  -0.000000  -0.000000   83.0000     0.5150
    8.000     0.000   0.835223   0.035180   0.006177   0.041357   0.000000  -0.000000  -0.049081  -0.000000  -0.000000   83.0000     0.5028
    9.000     0.000   0.918483   0.042550   0.006776   0.049326   0.000000  -0.000000  -0.049765  -0.000000  -0.000000   83.0000     0.4942
   10.000     0.000   1.003524   0.050796   0.007392   0.058188   0.000000   0.000000  -0.051056  -0.000000  -0.000000   83.0000     0.4875
   11.000     0.000   1.086862   0.059612   0.008011   0.067623   0.000000  -0.000000  -0.051883  -0.000000  -0.000000   83.0000     0.4809
   12.000     0.000   1.166382   0.068674   0.008643   0.077316   0.000000  -0.000000  -0.051576  -0.000000  -0.000000   83.0000     0.4736
   13.000     0.000   1.245384   0.078336   0.009289   0.087625   0.000000  -0.000000  -0.051250   0.000000   0.000000   83.0000     0.4670
   14.000     0.000   1.323577   0.088521   0.009993   0.098513   0.000000  -0.000000  -0.050789  -0.000000  -0.000000   83.0000     0.4607
   15.000     0.000   1.400621   0.099158   0.010752   0.109911   0.000000  -0.000000  -0.050123  -0.000000  -0.000000   83.0000     0.4546
   16.000     0.000   1.475152   0.110087   0.011608   0.121695   0.000000  -0.000000  -0.048994   0.000000   0.000000   83.0000     0.4484
   17.000     0.000   1.546769   0.121125   0.012621   0.133746   0.000000   0.000000  -0.047259  -0.000000  -0.000000   83.0000     0.4420
   18.000     0.000   1.615732   0.132297   0.013706   0.146003   0.000000  -0.000000  -0.044981  -0.000000  -0.000000   83.0000     0.4353


